toko_id,Page_URL,Title,Harga,Rating,Review,Alamat,No_Telp,Phone_Numb,Phone_Num,Latitude,Longitude,type,jenis
1171,"https://www.google.com/maps/place/Dimsum+Chichi/@-7.8225421,110.3626284,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a577080a9142d:0x88cfcc22f9c6d21a!8m2!3d-7.8225421!4d110.3626284!16s%2Fg%2F11pckk4vt0?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUxMy4xIKXMDSoASAFQAw%3D%3D",Dimsum Chichi,,4.8,8,"Jl. Modang No.442, Mantrijeron, Kec. Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55143",0896-4676-1464,"59G7+X3 Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta","
59G7+X3 Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta",-7.8225421,110.3626284,ringan,dimsum
1172,"https://www.google.com/maps/place/Ono+Dimsum/@-7.7616873,110.3629116,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a585bb7891749:0xc0b57a18bf79b17b!8m2!3d-7.7616873!4d110.3629116!16s%2Fg%2F11lfbbznm6?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUxMy4xIKXMDSoASAFQAw%3D%3D",Ono Dimsum,,5.0,1,"69Q7+85F, Jl. Selokan Mataram, Kutu Dukuh, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284",,,,-7.7616873,110.3629116,ringan,dimsum
1173,"https://www.google.com/maps/place/DIMSUM+KING+TUGU/@-7.7888631,110.36642,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a59c3d5f04e33:0x5f0a3624b5feb4fe!8m2!3d-7.7888631!4d110.36642!16s%2Fg%2F11jvdxdln3?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUxMy4xIKXMDSoASAFQAw%3D%3D",DIMSUM KING TUGU,,4.8,4,"Jl. Margomulyo No.10, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",0855-3656-9058,"6968+FH Sosromenduran, Kota Yogyakarta, Daerah Istimewa Yogyakarta","
6968+FH Sosromenduran, Kota Yogyakarta, Daerah Istimewa Yogyakarta",-7.7888631,110.36642,ringan,dimsum
1174,"https://www.google.com/maps/place/DIMSUM+1000+ALKID/@-7.8128774,110.3631833,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a57ac60f20feb:0x9bfca47de402b697!8m2!3d-7.8128774!4d110.3631833!16s%2Fg%2F11p4zjwkmg?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUxMy4xIKXMDSoASAFQAw%3D%3D",DIMSUM 1000 ALKID,,5.0,3,"Jl. Gading No.5a, Panembahan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55133",,,,-7.8128774,110.3631833,ringan,dimsum
1175,"https://www.google.com/maps/place/Nyonya+Jumbo+Dimsum,+Seturan/@-7.7670397,110.4104986,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a59b7cca025b7:0x1799df26f57a807c!8m2!3d-7.7670397!4d110.4104986!16s%2Fg%2F11nnl19l4s?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUxMy4xIKXMDSoASAFQAw%3D%3D","Nyonya Jumbo Dimsum, Seturan",Rp 1–25.000,4.8,9,"Jl. Seturan Raya No.15, Kledokan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",0812-5892-5859,,,-7.7670397,110.4104986,ringan,dimsum
1176,"https://www.google.com/maps/place/Sayiki+dimsum/@-7.80436,110.3656886,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a57271d27f9f3:0xd08189c0767062f5!8m2!3d-7.80436!4d110.3656886!16s%2Fg%2F11j5ccnn26?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUxMy4xIKXMDSoASAFQAw%3D%3D",Sayiki dimsum,,5.0,9,"Jl. Alun-Alun Utara, Prawirodirjan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55131",,,,-7.80436,110.3656886,ringan,dimsum
1177,"https://www.google.com/maps/place/Raminten's+Kitchen/@-7.7844065,110.3721107,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a59a8d51f9435:0x992683c37da1bbb3!8m2!3d-7.7844065!4d110.3721107!16s%2Fg%2F11h0y9nn7?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUxMy4xIKXMDSoASAFQAw%3D%3D",Raminten's Kitchen,Rp 25–50 rb,4.3,11845,"Jl. Sabirin, Kotabaru, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55224",,,,-7.7844065,110.3721107,ringan,dimsum
1178,"https://www.google.com/maps/place/Tukuo+Dimsum+UPN+Seturan/@-7.7634638,110.4062346,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a57ea20c92379:0xbb5d6c9bf3e3fc5c!8m2!3d-7.7634638!4d110.4062346!16s%2Fg%2F11kpzqq5lv?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUxMy4xIKXMDSoASAFQAw%3D%3D",Tukuo Dimsum UPN Seturan,,5.0,8,"Barat kampus UPN Seturan, Jl. Perumnas, Ngropoh, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",,,,-7.7634638,110.4062346,ringan,dimsum
1179,"https://www.google.com/maps/place/ANGKRINGAN+KOPI+JOS+%22MAS+GEMBUL%22/@-7.8018398,110.3752117,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a571d151b40c5:0x7b0cbff8004ef1de!8m2!3d-7.8018398!4d110.3752117!16s%2Fg%2F11g4cykr3v?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUxMy4xIKXMDSoASAFQAw%3D%3D","ANGKRINGAN KOPI JOS ""MAS GEMBUL""",Rp 1–25.000,4.6,80,"59XG+738, Gunungketur, Pakualaman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55151",0856-4336-1561,0856-4336-1561,"
0856-4336-1561",-7.8018398,110.3752117,minuman,kopijoss
1180,"https://www.google.com/maps/place/Angkringan+Kopi+Jos+Pak+Agus/@-7.7889755,110.3665423,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a58259d7ba5e5:0x96640b5612abfd23!8m2!3d-7.7889755!4d110.3665423!16s%2Fg%2F11bwyh7lkd?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI1MDUxMy4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Angkringan Kopi Jos Pak Agus,Rp 1–25.000,4.2,1002,"Jl. P. Mangkubumi No.5, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271",,"6968+CJ Sosromenduran, Kota Yogyakarta, Daerah Istimewa Yogyakarta","
6968+CJ Sosromenduran, Kota Yogyakarta, Daerah Istimewa Yogyakarta",-7.7889755,110.3665423,minuman,kopijoss
